query,metric,value,who
quick sort algorithm,map@7,0.09804421768707482,borda_fuse
quick sort algorithm,mrr@7,1.0,borda_fuse
quick sort algorithm,ndcg@7,0.8816172070446371,borda_fuse
quick sort algorithm,precision@7,0.8571428571428571,borda_fuse
quick sort algorithm,recall@7,0.10714285714285714,borda_fuse
quick sort algorithm,f1@7,0.19047619047619047,borda_fuse
scraper,map@3,0.043478260869565216,borda_fuse
scraper,mrr@3,1.0,borda_fuse
scraper,ndcg@3,1.0,borda_fuse
scraper,precision@3,1.0,borda_fuse
scraper,recall@3,0.043478260869565216,borda_fuse
scraper,f1@3,0.08333333333333333,borda_fuse
scraper,map@5,0.07246376811594203,borda_fuse
scraper,mrr@5,1.0,borda_fuse
scraper,ndcg@5,1.0,borda_fuse
scraper,precision@5,1.0,borda_fuse
scraper,recall@5,0.07246376811594203,borda_fuse
scraper,f1@5,0.13513513513513511,borda_fuse
scraper,map@7,0.10144927536231885,borda_fuse
scraper,mrr@7,1.0,borda_fuse
scraper,ndcg@7,1.0,borda_fuse
scraper,precision@7,1.0,borda_fuse
scraper,recall@7,0.10144927536231885,borda_fuse
scraper,f1@7,0.1842105263157895,borda_fuse
send sms,map@3,0.01652892561983471,borda_fuse
send sms,mrr@3,1.0,borda_fuse
send sms,ndcg@3,0.7653606369886217,borda_fuse
send sms,precision@3,0.6666666666666666,borda_fuse
send sms,recall@3,0.01652892561983471,borda_fuse
send sms,f1@3,0.03225806451612903,borda_fuse
send sms,map@5,0.02933884297520661,borda_fuse
send sms,mrr@5,1.0,borda_fuse
send sms,ndcg@5,0.830419897363192,borda_fuse
send sms,precision@5,0.8,borda_fuse
send sms,recall@5,0.03305785123966942,borda_fuse
send sms,f1@5,0.06349206349206349,borda_fuse
send sms,map@7,0.04330972058244785,borda_fuse
send sms,mrr@7,1.0,borda_fuse
send sms,ndcg@7,0.8625618335428545,borda_fuse
send sms,precision@7,0.8571428571428571,borda_fuse
send sms,recall@7,0.049586776859504134,borda_fuse
send sms,f1@7,0.09375000000000001,borda_fuse
sentiment analysis,map@3,0.06521739130434782,borda_fuse
sentiment analysis,mrr@3,1.0,borda_fuse
sentiment analysis,ndcg@3,1.0,borda_fuse
